2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Flight attendants,53-2031,Line item,102.5,133.6,31.1,30.4,0.8,17.6,"$61,640",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Motor vehicle operators,53-3000,Summary,4391.8,4920.6,528.8,12.0,8.9,569.1,"$42,670",—,—,—
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,14.2,16.5,2.3,16.3,—,1.9,"$29,120",High school diploma or equivalent,None,Moderate-term on-the-job training
Driver/sales workers and truck drivers,53-3030,Summary,3445.5,3750.5,305.0,8.9,7.4,421.8,"$45,580",—,—,—
Driver/sales workers,53-3031,Line item,458.2,540.0,81.9,17.9,7.5,62.5,"$29,280",High school diploma or equivalent,None,Short-term on-the-job training
Heavy and tractor-trailer truck drivers,53-3032,Line item,1951.6,2073.6,122.1,6.3,7.4,231.1,"$48,310",Postsecondary nondegree award,None,Short-term on-the-job training
Light truck drivers,53-3033,Line item,1035.8,1136.8,101.1,9.8,7.3,128.3,"$38,280",High school diploma or equivalent,None,Short-term on-the-job training
Passenger vehicle drivers,53-3050,Summary,872.6,1087.9,215.3,24.7,14.6,134.8,"$37,540",—,—,—
"Bus drivers, transit and intercity",53-3052,Line item,165.2,200.0,34.8,21.0,0.2,24.6,"$48,620",High school diploma or equivalent,None,Moderate-term on-the-job training
"Passenger vehicle drivers, except bus drivers, transit and intercity",53-3058,Line item,707.4,887.9,180.6,25.5,18.0,110.2,"$36,080",No formal educational credential,None,Short-term on-the-job training
"Motor vehicle operators, all other",53-3099,Line item,59.6,65.7,6.2,10.3,12.2,10.6,"$30,600",No formal educational credential,None,Short-term on-the-job training
Rail transportation workers,53-4000,Summary,87.3,92.0,4.7,5.4,0.3,8.3,"$64,170",—,—,—
Locomotive engineers and operators,53-4010,Summary,30.7,32.2,1.5,4.9,0.3,2.9,"$78,680",—,—,—
Locomotive engineers,53-4011,Line item,26.5,27.9,1.5,5.6,0.3,2.5,"$79,740",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,4.2,4.3,0.0,0.8,—,0.4,"$61,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,11.0,11.3,0.2,2.0,1.3,1.0,"$63,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Railroad conductors and yardmasters,53-4031,Line item,32.9,34.7,1.8,5.5,—,3.1,"$63,960",High school diploma or equivalent,None,Moderate-term on-the-job training
Subway and streetcar operators,53-4041,Line item,11.0,12.1,1.1,10.2,—,1.1,"$81,180",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail transportation workers, all other",53-4099,Line item,1.7,1.7,0.0,2.6,—,0.2,"$47,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Water transportation workers,53-5000,Summary,66.6,74.4,7.8,11.7,0.5,8.4,"$62,760",—,—,—
Sailors and marine oilers,53-5011,Line item,26.4,29.2,2.7,10.4,—,3.5,"$46,720",No formal educational credential,None,Moderate-term on-the-job training
Ship and boat captains and operators,53-5020,Summary,32.5,36.9,4.4,13.6,1.1,3.9,"$80,010",—,—,—
"Captains, mates, and pilots of water vessels",53-5021,Line item,29.9,33.9,4.0,13.5,1.1,3.6,"$81,640",Postsecondary nondegree award,Less than 5 years,None
Motorboat operators,53-5022,Line item,2.6,3.0,0.4,14.7,—,0.3,"$38,670",Postsecondary nondegree award,Less than 5 years,None
Ship engineers,53-5031,Line item,7.8,8.4,0.6,8.2,—,1.0,"$82,410",Postsecondary nondegree award,Less than 5 years,None
Other transportation workers,53-6000,Summary,334.6,367.7,33.1,9.9,0.8,52.3,"$29,940",—,—,—
Bridge and lock tenders,53-6011,Line item,3.2,3.3,0.1,2.8,—,0.4,"$45,390",High school diploma or equivalent,None,Short-term on-the-job training
Parking attendants,53-6021,Line item,123.8,141.3,17.5,14.2,—,21.9,"$29,240",No formal educational credential,None,Short-term on-the-job training
Automotive and watercraft service attendants,53-6031,Line item,115.7,120.7,5.0,4.3,0.5,16.4,"$29,330",No formal educational credential,None,Short-term on-the-job training
Traffic technicians,53-6041,Line item,7.6,8.2,0.6,7.8,—,1.1,"$48,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation inspectors,53-6051,Line item,29.0,30.3,1.3,4.6,6.8,3.3,"$79,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Passenger attendants,53-6061,Line item,23.2,27.2,4.1,17.5,—,4.0,"$30,470",High school diploma or equivalent,None,Short-term on-the-job training
"Aircraft service attendants and transportation workers, all other",53-6098,Line item,32.1,36.7,4.5,14.1,0.5,5.1,"$36,590",High school diploma or equivalent,None,Short-term on-the-job training
Material moving workers,53-7000,Summary,6994.6,7459.9,465.3,6.7,1.1,1034.1,"$31,010",—,—,—
Conveyor operators and tenders,53-7011,Line item,27.3,29.0,1.7,6.1,12.7,3.5,"$36,420",No formal educational credential,None,Short-term on-the-job training
Crane and tower operators,53-7021,Line item,44.8,47.2,2.4,5.4,2.6,5.0,"$62,240",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Dredge operators,53-7031,Line item,2.0,2.1,0.1,5.2,12.4,0.3,"$46,210",High school diploma or equivalent,None,Moderate-term on-the-job training
Hoist and winch operators,53-7041,Line item,5.0,5.2,0.2,3.4,12.7,0.6,"$52,300",No formal educational credential,None,Short-term on-the-job training
Industrial truck and tractor operators,53-7051,Line item,631.6,680.3,48.7,7.7,0.3,75.0,"$38,380",No formal educational credential,None,Short-term on-the-job training
Laborers and material movers,53-7060,Summary,6074.4,6464.3,389.8,6.4,0.8,919.7,"$30,320",—,—,—
Cleaners of vehicles and equipment,53-7061,Line item,367.2,399.6,32.4,8.8,5.1,56.1,"$29,280",No formal educational credential,None,Short-term on-the-job training
"Laborers and freight, stock, and material movers, hand",53-7062,Line item,2821.7,3077.5,255.8,9.1,1.0,411.3,"$31,230",No formal educational credential,None,Short-term on-the-job training
Machine feeders and offbearers,53-7063,Line item,63.0,66.9,3.9,6.3,0.1,8.8,"$37,010",No formal educational credential,None,Short-term on-the-job training
"Packers and packagers, hand",53-7064,Line item,599.7,600.6,1.0,0.2,0.2,82.9,"$29,940",No formal educational credential,None,Short-term on-the-job training
Stockers and order fillers,53-7065,Line item,2223.0,2319.7,96.7,4.4,0.1,360.5,"$30,110",High school diploma or equivalent,None,Short-term on-the-job training
Pumping station operators,53-7070,Summary,28.8,31.4,2.6,9.1,6.4,3.5,"$62,090",—,—,—
Gas compressor and gas pumping station operators,53-7071,Line item,4.1,4.0,-0.1,-1.4,6.5,0.4,"$70,720",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",53-7072,Line item,11.1,12.5,1.4,12.6,6.5,1.4,"$49,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Wellhead pumpers,53-7073,Line item,13.6,14.8,1.3,9.4,6.3,1.7,"$63,740",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Refuse and recyclable material collectors,53-7081,Line item,140.5,157.2,16.7,11.9,12.9,21.4,"$38,500",No formal educational credential,None,Short-term on-the-job training
"Tank car, truck, and ship loaders",53-7121,Line item,13.0,13.6,0.6,4.7,2.4,1.6,"$49,390",No formal educational credential,None,Short-term on-the-job training
"Material moving workers, all other",53-7199,Line item,27.1,29.6,2.5,9.1,2.2,3.6,—,No formal educational credential,None,Short-term on-the-job training
"Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics","Footnotes: (1) Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers. Note: Data is unavailable for values denoted with a ""—"". Source: Employment Projections program, U.S. Bureau of Labor Statistics"
